"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Duplicate Phone Validation","484","validateDuplicatePhoneNumber","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","validateDuplicatePhoneNumber"
"","3","verifyConfiguration","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.base.RestAssuredConfigTest","Gradle test","com.oorjaa.mdm.tests.base.RestAssuredConfigTest","verifyConfiguration"
"Search Vendor","627","searchVendor","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","searchVendor"
"Create Vendor","2249","createVendor","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","createVendor"
"Update Vendor","2082","updateVendor","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","updateVendor"
"","605","verifyLogin","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.base.LoginTest","Gradle test","com.oorjaa.mdm.tests.base.LoginTest","verifyLogin"
"","15","beforeSuite","Gradle suite","2026-07-03","broken","2026-07-03","com.oorjaa.mdm.tests.base.BaseTest","Gradle test","com.oorjaa.mdm.tests.base.BaseTest","beforeSuite"
"","6","login","Gradle suite","2026-07-14","broken","2026-07-14","com.oorjaa.mdm.tests.base.LoginTest","Gradle test","com.oorjaa.mdm.tests.base.LoginTest","login"
"","1","login","Gradle suite","2026-07-14","broken","2026-07-14","com.oorjaa.mdm.tests.base.RestAssuredConfigTest","Gradle test","com.oorjaa.mdm.tests.base.RestAssuredConfigTest","login"
"Approve Vendor","2024","approveVendor","Gradle suite","2026-07-14","passed","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","approveVendor"
"","0","login","Gradle suite","2026-07-14","broken","2026-07-14","com.oorjaa.mdm.tests.vendor.VendorTest","Gradle test","com.oorjaa.mdm.tests.vendor.VendorTest","login"
